"Missingness_Mech","Trt_Assignment","Trt_Effect_Size","Include_Y_in_Imputation","Complete.Data","CCA","W_MI5","A_MI5","W_MI20","A_MI20","W_MI50","A_MI50"
1,3,1,1,5.00296685826344,5.39992488683318,4.98403880506289,4.8995562661924,4.98068015559843,4.90990472770825,4.97454988589148,4.89943368512173
1,3,2,0,5.00328390568753,5.42132061568065,5.36443096426846,5.31742857034331,5.36221071204744,5.27769005797915,5.36115526234114,5.28870698023684
1,3,2,1,5.00161751389192,5.38925072665881,4.96380438029615,4.88119032853293,4.96896646622108,4.87953665632606,4.97020901720271,4.87468850880434
2,0,0,0,4.99830317676492,6.3715054918598,5.60124913126198,5.59793399318882,5.59630918624313,5.56852867869168,5.59571245026313,5.57768872127591
2,0,0,1,5.00442237720927,6.41213798906726,4.68058410164583,4.52817949404452,4.67983982060318,4.49344157985182,4.68075916336798,4.48669929695075
2,0,1,0,4.99532334160804,6.17605856984472,5.33764098189862,5.30267618451701,5.32668342114622,5.30339420445736,5.33337903656483,5.30960231949405
2,0,1,1,4.99516880829098,6.17576015991166,4.45771866409498,4.32550681522014,4.46126024439647,4.2874373901082,4.46180367633825,4.2819239044803
2,0,2,0,5.00390179404894,6.26363712514596,5.48832561370956,5.47006140500066,5.49427671673626,5.46259641394145,5.49284048292665,5.45850361894147
2,0,2,1,4.99618547089278,6.28575604577967,4.55328795552126,4.40700151436048,4.55538236994559,4.38024467897546,4.5556611537627,4.36797573655627
2,1,0,0,5.00402985020102,5.83644038280451,6.41367244376501,5.95726672966215,6.41220276666209,5.85657577908962,6.41287589286108,5.81577633771282
2,1,0,1,5.00134485628514,5.83083475774737,5.12716051815301,5.00035413431033,5.14247132800315,4.96777461041227,5.13897590887468,4.96944853148483
2,1,1,0,4.99635139319456,6.06256727984781,6.67635538984491,6.24122491762028,6.6763214032457,6.14161217102215,6.67313620983142,6.10846727384978
2,1,1,1,4.99398314496899,6.08122968223836,5.37197211175326,5.22631259246296,5.38204987700845,5.19294733549883,5.38617869892105,5.20342954222253
2,1,2,0,5.00127578551233,5.8903286180956,6.51831834995393,6.08063310913436,6.52174524405554,5.99052370230777,6.51983224776755,5.9864065677299
2,1,2,1,5.00406999046412,5.93732317776784,5.24872130657544,5.09916295566392,5.25376049440065,5.08947040674374,5.25690233510098,5.08156283490305
2,2,0,0,4.99786667879898,6.12274008886348,6.1189365151532,6.01457284556856,6.12224804780748,5.96696047610245,6.11918965610069,5.96935310982787
